anfitrión/a,tiempo_respuesta,es_superhost,ciudad,pais,latitud,longitud,tipo_propiedad,capacidad,puntaje_promedio_comunicación,puntaje_promedio_localización,servicio_tv_cable,servicio_aire_acondicionado
5727736,dentro de una hora,0,Sydney,Australia,-33.88952,151.27312,pieza privada en casa,2,10,10,1,0
201677068,dentro de una hora,0,Bangkok,Thailand,13.7505,100.55458,apartamento completo,4,10,10,0,1
12617921,dentro de una hora,0,Rio de Janeiro,Brazil,-23.01537,-43.29783,pieza privada en departamento,2,10,10,1,1
61966575,dentro de una hora,1,Bangkok,Thailand,13.72054,100.50391,condominio completo,2,10,10,1,1
18142721,dentro de una hora,0,Paris,France,48.88938,2.39263,apartamento completo,6,10,10,1,0
92056080,dentro de algunas horas,0,Rio de Janeiro,Brazil,-23.03013,-43.47201,apartamento completo,6,10,10,1,1
185308070,dentro de una hora,0,Cape Town,South Africa,-33.92302,18.3809,apartamento completo,4,8,10,0,1
235897810,dentro de un día,0,Paris,France,48.86325,2.38162,apartamento completo,2,10,10,0,0
36119996,dentro de algunas horas,0,Rome,Italy,41.81933,12.3165,apartamento completo,2,10,9,0,1
142832114,dentro de una hora,0,Mexico City,Mexico,19.3964,-99.16965,pieza privada en departamento,2,10,10,0,0
318795079,dentro de un día,0,Rio de Janeiro,Brazil,-23.0114,-43.32216,apartamento completo,4,10,10,0,1
373659956,dentro de una hora,0,Rio de Janeiro,Brazil,-22.90171,-43.24719,apartamento completo,8,10,8,0,0
273540117,dentro de una hora,1,Rio de Janeiro,Brazil,-22.96624,-43.18855,pieza privada en departamento,2,10,10,0,0
67822267,dentro de una hora,0,Sydney,Australia,-33.75636,151.15172,apartamento completo,4,10,10,0,1
46510519,dentro de un día,0,Sydney,Australia,-33.87362,151.22165,pieza privada en departamento,2,10,10,0,1
270048473,dentro de una hora,0,Istanbul,Turkey,41.00899,28.97189,apartamento completo,6,10,10,0,1
320608112,dentro de una hora,1,Paris,France,48.8592,2.36142,apartamento completo,4,10,10,0,0
187105953,dentro de algunas horas,0,Rome,Italy,41.8672,12.67927,apartamento completo,7,10,9,0,1
72301563,dentro de algunas horas,1,Paris,France,48.89194,2.34328,apartamento completo,4,10,10,0,0
5934244,dentro de una hora,0,Rome,Italy,41.89143,12.48154,apartamento completo,3,10,10,0,1
1204189,dentro de una hora,1,Bangkok,Thailand,13.72002,100.45951,condominio completo,2,10,9,0,1
3812467,dentro de una hora,1,Cape Town,South Africa,-33.86673,18.64441,suite de invitado completa,2,10,10,0,1
